Country,Year,Area_sq_km,Gdp_usd,Heath_expend_pc_usd,Population_0_14,Population_15_64,Population_65_up,Population,Population_urb
Ukraine,2015,579290,91030959454.6961,157.57748413,6892284,31186380,7075372,45154036,31183829
Ukraine,2016,579290,93355993628.5042,157.53770447,6946322,30905273,7153077,45004673,31122532
Ukraine,2017,579300,112190355158.178,187.3952179,7006639,30581925,7242571,44831135,31043768
Ukraine,2018,579400,130901858421.72,228.39007568,7055897,30233050,7333571,44622518,30946609
Ukraine,2019,NA,153781069118.148,NA,7075036,29896456,7414711,44386203,30836427
Ukraine,2020,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,2015,241930,2928591002002.51,4472.52148438,11431700,41980393,11704126,65116219,53802927
United Kingdom,2016,241930,2694283209613.29,4066.09350586,11540882,42156712,11913999,65611593,54382825
United Kingdom,2017,241930,2666229179958.01,3978.6171875,11649486,42326458,12082915,66058859,54923317
United Kingdom,2018,241930,2860667727551.97,4315.42773438,11748914,42485474,12225956,66460344,55426598
United Kingdom,2019,NA,2829108219165.8,NA,11827156,42638638,12370532,66836327,55909924
United Kingdom,2020,NA,NA,NA,NA,NA,NA,NA,NA
